x;y;z;vx;vy;vz;m
0.8270315349814448 ; -0.33672912104468455 ; -1.777151435975029 ; -233.90526 ; -552.8422 ; -84.7124 ; 35181.055
1.0562733929676265 ; -0.2985639178139001 ; -1.561887877996205 ; 67.7067 ; -180.72685 ; -199.89252 ; 35181.055
0.9030141412337933 ; -0.15529685600108545 ; -1.7305497693588747 ; 133.27066 ; -30.827744 ; -87.52845 ; 35181.055
0.9956732189949129 ; -0.17127518568590405 ; -1.6232051212066438 ; -56.358704 ; -170.93207 ; 171.9679 ; 35181.055
0.9664421430424737 ; -0.16201922561412108 ; -1.6203483434839576 ; -329.49387 ; -465.03668 ; 29.138603 ; 35181.055
1.532753900320058 ; -0.17873585532821853 ; -1.2593416104072312 ; 165.3392 ; 102.91373 ; -377.93884 ; 35181.055
1.2698907989832051 ; -0.3519741283474329 ; -1.4597742815700459 ; -8.520582 ; -331.24542 ; -74.30215 ; 35181.055
1.3316594611138113 ; -0.24905469034054614 ; -1.3840827325692597 ; -375.81934 ; -223.78821 ; 16.130203 ; 35181.055
1.0209107836602156 ; -0.13396107706562566 ; -1.5656358729991082 ; 274.3863 ; -72.60368 ; 243.74155 ; 35181.055
1.1117067574469495 ; -0.2662755789600051 ; -1.6011099980843464 ; 130.43063 ; -138.21841 ; 91.77332 ; 35181.055
1.2842666218247079 ; -0.09886273819144263 ; -1.5175901124313556 ; 87.35104 ; -119.54766 ; -33.11645 ; 35181.055
1.2591822951083511 ; -0.04529196410679591 ; -1.4736221143299588 ; -66.857414 ; -348.586 ; -13.12985 ; 35181.055
1.18350266448887 ; -0.10263067079948661 ; -1.558910133417608 ; -265.20834 ; -685.7052 ; 76.680504 ; 35181.055
1.3067190099840857 ; 0.09302359326232203 ; -1.4300351023214508 ; -199.02219 ; -238.58072 ; 189.99477 ; 35181.055
1.3940482799666372 ; 0.0336115168191631 ; -1.3686238130404893 ; -323.17584 ; -422.49454 ; 65.527374 ; 35181.055
1.321729884353184 ; -0.14862517235273873 ; -1.3592941209613345 ; 35.81449 ; -222.64871 ; 13.302869 ; 35181.055
1.3186922345021763 ; -0.11298784934893379 ; -1.4017535143849174 ; 55.120674 ; -249.0346 ; 18.887665 ; 35181.055
